write_turns,baseline_tier,candidate_tier,metric,delta_kind,n_pairs,mean_delta,median_delta,bootstrap_95_low,bootstrap_95_high,positive_pairs,zero_pairs,negative_pairs
4,terra,sol,wall_minutes_per_100_messages,relative_percent,6,28.993001122357636,28.923897983403208,20.61681971546992,36.75572940301543,6,0,0
4,terra,sol,first_pass_source_coverage,percentage_points,6,3.1495427223832215,4.869962473486705,-1.7814681746615157,7.590092560770852,4,0,2
4,terra,sol,post_verify_source_coverage,percentage_points,6,0.9375373666209942,0.5956022944550665,-0.10914454277286174,2.184798658042651,4,1,1
4,terra,sol,final_source_coverage,percentage_points,6,0.9375373666209942,0.5956022944550665,-0.11562519388370977,2.208870397563493,4,1,1
4,terra,sol,gold_question_all_coverage,percentage_points,4,0.2032520325203263,0.0,0.0,0.6097560975609789,1,3,0
4,terra,sol,events_per_message,relative_percent,6,31.18485966130316,31.246607117361094,16.611219914964497,45.80584752845321,6,0,0
4,terra,sol,abstract_to_source_byte_ratio,relative_percent,6,29.58420846671379,31.465930885780743,19.051418037101712,39.87256557151402,6,0,0
8,luna,terra,calls_per_100_messages,relative_percent,6,-3.7009706888621126,-4.656862745098035,-16.747497424814743,9.762822123029785,3,0,3
8,luna,terra,input_tokens_per_1000_source_tokens,relative_percent,6,-15.34958741397061,-15.593036971627033,-25.907780925397848,-4.177188333452356,1,0,5
8,luna,terra,output_tokens_per_1000_source_tokens,relative_percent,6,-36.08722952347488,-35.05033344563058,-39.99039470631498,-32.91462134671231,0,0,6
8,luna,terra,wall_minutes_per_100_messages,relative_percent,6,-31.285495744353952,-32.0980329962763,-35.68947922595485,-26.84560532052083,0,0,6
8,luna,terra,first_pass_source_coverage,percentage_points,6,-18.726579349721188,-17.055735318960927,-23.01986935919828,-15.117123684749513,0,0,6
8,luna,terra,post_verify_source_coverage,percentage_points,6,-8.424018614586261,-4.039831469229599,-15.436791562576161,-1.6905821209488707,0,0,6
8,luna,terra,final_source_coverage,percentage_points,6,-8.424018614586261,-4.039831469229599,-15.643124331044122,-1.6905821209488707,0,0,6
8,luna,terra,gold_question_all_coverage,percentage_points,4,-0.07236198016430384,0.0,-0.6097560975609789,0.3926701570680674,1,2,1
8,luna,terra,events_per_message,relative_percent,6,-42.796347522518886,-42.67253176930597,-47.41585434162187,-38.97610876797805,0,0,6
8,luna,terra,abstract_to_source_byte_ratio,relative_percent,6,-33.057716127570416,-30.558712451310804,-39.61849866615701,-28.356809621517524,0,0,6
8,luna,sol,calls_per_100_messages,relative_percent,6,6.606501488534302,11.645240877808071,-5.786276767238114,17.897603485838783,4,0,2
8,luna,sol,input_tokens_per_1000_source_tokens,relative_percent,6,-8.399138578184683,-6.048985383196712,-19.344406655326257,2.307110927810561,1,0,5
8,luna,sol,output_tokens_per_1000_source_tokens,relative_percent,6,-17.244915108736507,-11.884488948119614,-29.12003873561096,-6.856328865175072,0,0,6
8,luna,sol,wall_minutes_per_100_messages,relative_percent,6,-9.421374734510128,-6.240532117923109,-22.505727274184242,2.635215968780426,2,0,4
8,luna,sol,first_pass_source_coverage,percentage_points,6,-11.296841760749613,-6.78348833414913,-17.95663421862682,-4.725372574749276,0,0,6
8,luna,sol,post_verify_source_coverage,percentage_points,6,-6.205182576419539,-4.503629503037271,-11.08646028303233,-1.3239048698067486,1,1,4
8,luna,sol,final_source_coverage,percentage_points,6,-6.205182576419539,-4.503629503037271,-11.286492914783025,-1.3239048698067486,1,1,4
8,luna,sol,gold_question_all_coverage,percentage_points,4,0.18941812454773832,0.0,-0.6097560975609789,1.1780104712041939,1,2,1
8,luna,sol,events_per_message,relative_percent,6,-23.172882691287967,-17.68470069187095,-33.315889385872104,-15.438629801871876,0,0,6
8,luna,sol,abstract_to_source_byte_ratio,relative_percent,6,-11.11395329280768,-4.374429085600772,-23.234341297875588,-2.1239098779730714,1,0,5
8,terra,sol,calls_per_100_messages,relative_percent,6,12.36371400660734,11.447779862414006,1.7847258858990667,25.000595610351695,5,0,1
8,terra,sol,input_tokens_per_1000_source_tokens,relative_percent,6,9.681944587276467,11.626325516285899,-3.8617385120938095,20.10873190933957,5,0,1
8,terra,sol,output_tokens_per_1000_source_tokens,relative_percent,6,29.035586624719745,29.399760989482054,15.259071547642174,41.86171836391501,5,0,1
8,terra,sol,wall_minutes_per_100_messages,relative_percent,6,31.46877794169171,31.2165967382823,16.335492657746336,46.26049939171458,6,0,0
8,terra,sol,first_pass_source_coverage,percentage_points,6,7.429737588971573,9.509218469570884,-0.05399428621628758,14.720341996969546,4,0,2
8,terra,sol,post_verify_source_coverage,percentage_points,6,2.2188360381667214,0.7819148936170195,-0.0002016390576231597,4.62953867525517,4,0,2
8,terra,sol,final_source_coverage,percentage_points,6,2.2188360381667214,0.7819148936170195,-0.0002016390576231597,4.771869058735994,4,0,2
8,terra,sol,gold_question_all_coverage,percentage_points,4,0.26178010471204216,0.0,0.0,0.7853403141361265,1,3,0
8,terra,sol,events_per_message,relative_percent,6,33.84926354104749,31.918243272632285,24.0262840325717,44.09809893586664,6,0,0
8,terra,sol,abstract_to_source_byte_ratio,relative_percent,6,32.19867214350224,32.30449077882503,25.554578179590205,38.676604099064136,6,0,0
16,luna,terra,calls_per_100_messages,relative_percent,6,-10.70454768179423,-13.581730769230774,-26.08889878043104,8.17471219256933,1,0,5
16,luna,terra,input_tokens_per_1000_source_tokens,relative_percent,6,-20.770438535381576,-19.158861531069242,-27.280372180732545,-14.637038797149804,0,0,6
16,luna,terra,output_tokens_per_1000_source_tokens,relative_percent,6,-37.20915226992603,-37.024542904553684,-39.250573027182995,-35.16773151266907,0,0,6
16,luna,terra,wall_minutes_per_100_messages,relative_percent,6,-32.668675459168824,-33.146087925609734,-36.66321316811087,-28.473127871747987,0,0,6
16,luna,terra,first_pass_source_coverage,percentage_points,6,-22.023857453130535,-18.954528337412917,-27.177332385770768,-17.19781181716057,0,0,6
16,luna,terra,post_verify_source_coverage,percentage_points,6,-7.60732002754104,-8.861909676982688,-15.099833817927172,0.5039854390259224,1,1,4
16,luna,terra,final_source_coverage,percentage_points,6,-7.60732002754104,-8.861909676982688,-15.099833817927172,0.30611205716153983,1,1,4
16,luna,terra,gold_question_all_coverage,percentage_points,4,-0.7991742221087117,-0.7853403141361237,-1.5983484442174234,0.0,0,2,2
16,luna,terra,events_per_message,relative_percent,6,-40.95884519672804,-39.221672770409604,-44.640418438865744,-37.54071935914876,0,0,6
16,luna,terra,abstract_to_source_byte_ratio,relative_percent,6,-29.965105404499226,-28.106097569731787,-37.1896676358223,-23.809365782510955,0,0,6
16,luna,sol,calls_per_100_messages,relative_percent,6,-4.075806087306252,-1.8229166666666698,-16.215661578564802,6.558832324138446,2,1,3
16,luna,sol,input_tokens_per_1000_source_tokens,relative_percent,6,-9.892016286308985,-8.14451391311222,-23.45144948743911,3.539001714440483,2,0,4
16,luna,sol,output_tokens_per_1000_source_tokens,relative_percent,6,-15.868234145890959,-12.931987982089016,-25.714545654964187,-6.770652341948544,0,0,6
16,luna,sol,wall_minutes_per_100_messages,relative_percent,6,-5.666762986860014,-1.9751629386662328,-17.127400457842196,3.18222138740721,2,0,4
16,luna,sol,first_pass_source_coverage,percentage_points,6,-8.697734641040856,-6.417686408875833,-18.497769039609047,0.9044948500848768,1,0,5
16,luna,sol,post_verify_source_coverage,percentage_points,6,-4.983357153054317,-5.586896563393623,-11.107961550934874,1.764608046193439,2,0,4
16,luna,sol,final_source_coverage,percentage_points,6,-4.983357153054317,-5.586896563393623,-11.107961550934874,1.565487909954803,2,0,4
16,luna,sol,gold_question_all_coverage,percentage_points,4,-0.334142084876346,-0.2617801047120394,-0.668284169752692,0.0,0,2,2
16,luna,sol,events_per_message,relative_percent,6,-17.48939135855522,-17.332267539184762,-28.505190561019276,-7.384135375165805,1,0,5
16,luna,sol,abstract_to_source_byte_ratio,relative_percent,6,-4.479619742671973,-3.932828575652253,-17.256814665398192,7.957421786495316,2,0,4
16,terra,sol,calls_per_100_messages,relative_percent,6,9.643840911285574,11.680438738871683,0.09032051427206052,18.069777506609768,5,0,1
16,terra,sol,input_tokens_per_1000_source_tokens,relative_percent,6,13.070714634002504,14.227650429781804,1.873599661608963,24.381726962751127,4,0,2
16,terra,sol,output_tokens_per_1000_source_tokens,relative_percent,6,33.90909015786185,37.48508888080444,19.20516710418166,47.53238637841309,6,0,0
16,terra,sol,wall_minutes_per_100_messages,relative_percent,6,39.55841407480729,43.907892496801146,28.872410575355314,47.254127437729835,6,0,0
16,terra,sol,first_pass_source_coverage,percentage_points,6,13.32612281208968,9.579376733561757,4.175432103063032,22.86164075644463,5,0,1
16,terra,sol,post_verify_source_coverage,percentage_points,6,2.623962874486724,2.588659455916098,1.029553151972033,4.2355052321549405,5,1,0
16,terra,sol,final_source_coverage,percentage_points,6,2.623962874486724,2.588659455916098,1.029553151972033,4.278414186365254,5,1,0
16,terra,sol,gold_question_all_coverage,percentage_points,4,0.4650321372323657,0.40650406504064707,0.0,0.9300642744647314,2,2,0
16,terra,sol,events_per_message,relative_percent,6,39.31471791800981,45.41513652412314,24.696734381855766,52.62092796879492,6,0,0
16,terra,sol,abstract_to_source_byte_ratio,relative_percent,6,35.807100625319286,40.05804080357598,27.98336262443111,43.154897150561006,6,0,0
32,luna,terra,calls_per_100_messages,relative_percent,6,-7.610330827918361,-6.572537362728102,-19.015109985907745,3.961106803879604,2,0,4
32,luna,terra,input_tokens_per_1000_source_tokens,relative_percent,6,-24.733295902154527,-25.501737713462802,-32.11743085159163,-15.476660638952673,0,0,6
32,luna,terra,output_tokens_per_1000_source_tokens,relative_percent,6,-37.35625842300365,-40.01613665866384,-42.31223241465505,-31.56217472691164,0,0,6
32,luna,terra,wall_minutes_per_100_messages,relative_percent,6,-33.39735728041986,-34.357354672832784,-39.638988464864894,-27.110582283491297,0,0,6
32,luna,terra,first_pass_source_coverage,percentage_points,6,-24.132994512889827,-20.52335910929119,-33.24545405690735,-15.751110457434367,0,0,6
32,luna,terra,post_verify_source_coverage,percentage_points,6,-7.444841370717836,-3.069595086211269,-13.681718139665763,-1.5619469026548647,0,1,5
32,luna,terra,final_source_coverage,percentage_points,6,-7.444841370717836,-3.069595086211269,-13.706253098222502,-1.5231983620704235,0,1,5
32,luna,terra,gold_question_all_coverage,percentage_points,4,-0.14472396032860768,0.0,-1.2195121951219496,0.7853403141361265,1,2,1
32,luna,terra,events_per_message,relative_percent,6,-42.336870893615675,-40.68022966065744,-48.951421110916385,-36.265279744257334,0,0,6
32,luna,terra,abstract_to_source_byte_ratio,relative_percent,6,-30.63466563642345,-28.754842120687115,-37.341844087926674,-24.269370675262717,0,0,6
32,luna,sol,calls_per_100_messages,relative_percent,6,5.414424857079633,6.4972752043596795,-6.621270536516016,18.560936993532728,4,0,2
32,luna,sol,input_tokens_per_1000_source_tokens,relative_percent,6,-14.419695798095058,-14.705725637764502,-27.200682431344855,-1.4145000070457454,1,0,5
32,luna,sol,output_tokens_per_1000_source_tokens,relative_percent,6,-14.805135726090198,-13.921847404036281,-28.09154313336569,-1.5187283188147072,1,0,5
32,luna,sol,wall_minutes_per_100_messages,relative_percent,6,-9.375563244919757,-9.586410445453852,-20.955097162574887,1.6941984405138657,2,0,4
32,luna,sol,first_pass_source_coverage,percentage_points,6,-11.479530428206298,-12.310229445506693,-18.529610618997896,-4.01539130907707,1,0,5
32,luna,sol,post_verify_source_coverage,percentage_points,6,-5.382417962820861,-2.545728354117666,-10.97817751672377,-0.6819094513725551,1,1,4
32,luna,sol,final_source_coverage,percentage_points,6,-5.382417962820861,-2.545728354117666,-10.97817751672377,-0.6177501593371567,1,1,4
32,luna,sol,gold_question_all_coverage,percentage_points,4,0.05852807219171585,0.0,-0.6097560975609789,0.7853403141361265,1,2,1
32,luna,sol,events_per_message,relative_percent,6,-18.651093039818626,-15.443135760116887,-29.256008564938842,-8.281130492754833,1,0,5
32,luna,sol,abstract_to_source_byte_ratio,relative_percent,6,-3.81022722882224,-1.2994706968964949,-13.652243068824538,5.170544763113005,2,0,4
32,terra,sol,calls_per_100_messages,relative_percent,6,14.918274557979833,13.582625784956473,5.879514750482499,26.416459884201817,6,0,0
32,terra,sol,input_tokens_per_1000_source_tokens,relative_percent,6,13.383522064983355,15.891233977735258,2.6838675075316565,22.52238500817749,5,0,1
32,terra,sol,output_tokens_per_1000_source_tokens,relative_percent,6,36.2710753328626,37.16401670270495,17.726829923672145,56.68612941879248,6,0,0
32,terra,sol,wall_minutes_per_100_messages,relative_percent,6,37.15243829797478,30.943896255759803,21.523478244624187,58.60875021516646,6,0,0
32,terra,sol,first_pass_source_coverage,percentage_points,6,12.653464084683533,12.31881220427476,5.006983271397804,20.789701963343663,6,0,0
32,terra,sol,post_verify_source_coverage,percentage_points,6,2.0624234078969756,0.9865762218496998,0.28550962509235794,4.804251873660827,4,1,1
32,terra,sol,final_source_coverage,percentage_points,6,2.0624234078969756,0.9865762218496998,0.26512387764652257,4.804251873660827,4,1,1
32,terra,sol,gold_question_all_coverage,percentage_points,4,0.20325203252032353,0.0,0.0,0.6097560975609706,1,3,0
32,terra,sol,events_per_message,relative_percent,6,43.34674723155283,42.37897568448488,21.085166723954018,67.1431899880176,6,0,0
32,terra,sol,abstract_to_source_byte_ratio,relative_percent,6,40.3948317814831,40.98033832312808,22.980055789615957,58.14460349163482,6,0,0
